"code_tete_rgpmt","libelle_en_tete_regroupement"
"158","Effectuer l''impression de motifs sur du ou des :"
"136","Effectuer la location de véhicules ou matériels :"
"137","Effectuer la maintenance de premier niveau de matériel :"
"138","Effectuer la naturalisation, la reconstitution d''espèces animales ou végétales :"
"139","Effectuer la plonge, l''entretien de vaisselle/matériel :"
"140","Effectuer la préparation, l''assemblage de plats simples :"
"117","Effectuer la réservation de location de :"
"141","Effectuer la transformation de matières (plastique, caoutchouc, ...) sur :"
"142","Effectuer la vente d''animaux :"
"143","Effectuer la vente d''articles de sport :"
"147","Effectuer la vente d''instruments de musique :"
"148","Effectuer la vente d''objets d''art, d''objets anciens ou d''articles d''occasion :"
"144","Effectuer la vente de :"
"145","Effectuer la vente de produits :"
"146","Effectuer la vente de produits alimentaires :"
"149","Effectuer la vente en gros de produits frais :"
"152","Effectuer le repassage de :"
"153","Effectuer le suivi administratif d''opérations de gestion des ressources humaines :"
"154","Effectuer le transport de :"
"156","Effectuer les réglages ou la maintenance de premier niveau de matériel :"
"160","Effectuer manuellement des opérations d''expédition :"
"159","Effectuer manuellement des opérations de préparation ou de finition :"
"161","Effectuer ou ajuster une programmation de :"
"162","Effectuer sur les installations des manoeuvres spécifiques :"
"163","Effectuer un convoyage de :"
"164","Effectuer un service de plats :"
"165","Effectuer un soudage nécessitant une qualification :"
"166","Effectuer un suivi particulier :"
"167","Effectuer un transport fluvial :"
"168","Effectuer une application de produit :"
"170","Effectuer une intervention :"
"171","Effectuer une navigation fluviale sur un bateau :"
"172","Effectuer une navigation nécessitant une habilitation :"
"173","Effectuer une opération de préparation ou de finition de surface par :"
"174","Effectuer une pose :"
"175","Effectuer une réécriture du contenu ou du style de textes :"
"176","Effectuer, en ligne et/ou en escale, des opérations de :"
"177","Elaborer des référentiels :"
"178","Elaborer un forfait touristique pour un type de clientèle :"
"179","Elaborer une gamme, une collection de matières premières, des motifs en :"
"180","Emailler des produits par :"
"181","Enseigner un art du cirque ou un art dramatique :"
"182","Enseigner une discipline :"
"183","Enseigner une discipline chorégraphique :"
"184","Enseigner une discipline musicale :"
"33","Entête de regroupement libre 1 :"
"565","Entête de regroupement libre 2 :"
"64","Entête de regroupement libre 3 :"
"113","Entête de regroupement libre 4 :"
"377","Entête de regroupement libre 5 :"
"391","Entête de regroupement libre 7 :"
"520","Entête de regroupement libre 8 :"
"545","Entête de regroupement libre 9 :"
"185","Etablir des documents commerciaux :"
"186","Etablir des titres de transport pour des déplacements en :"
"187","Exercer en tant que :"
"188","Exercer une activité dans :"
"197","Façonner des articles à l''aide de matériaux souples (cuirs, PVC, velours, ...) :"
"198","Façonner des ouvrages selon des techniques spécifiques :"
