"code_tete_rgpmt","libelle_en_tete_regroupement"
"593","Transposer un texte pour un type de public :"
"594","Transposer un texte, des propos selon un mode de traduction ou d''interprétariat :"
"595","Usiner ou assembler le verre selon des opérations de :"
"596","Utiliser des logiciels :"
"597","Utiliser des outils de traitement ou d''intégration en :"
"317","Utiliser des procédés ou des techniques :"
"598","Utiliser un engin nécessitant une habilitation :"
"599","Utiliser un logiciel professionnel :"
"602","Vérifier la conformité d''une intervention et prononcer l''Approbation Pour Remise en Service -APRS-, avec une licence :"
"601","Vendre des :"
"600","Vendre des produits/services d''assurances :"
