"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"105759","Réaliser des opérations de traitement par photomasquage","2","9","","",""
"105760","Réaliser des opérations de traitement par photogravure","2","9","","",""
"105761","Réaliser des opérations d''implantation ionique","2","9","","",""
"105762","Réaliser des opérations de traitement thermique","2","9","","",""
"105763","Techniques de régulation des installations thermiques","1","10","","",""
"105764","Procédés de reproduction photo","1","10","","",""
"105765","Procédés de gravure de couches","1","10","","",""
"105766","Repérer et positionner les éléments électriques, composants électroniques dans l''ordre d''assemblage ou alimenter la machine","2","6","","",""
"105767","Assembler les éléments du produit électrique ou électronique (composants, câblage)","2","6","","",""
"105769","Trier les produits défectueux et les diriger vers les zones ou services concernés (réparation, recyclage, évacuation, ...)","2","6","","",""
"105770","Identifier l''implantation des composants (résistances, condensateurs, circuits intégrés, ...) à partir du schéma électronique ou du plan de câblage","2","6","","",""
"105771","Vérifier les composants et les disposer en fonction du déroulement des opérations de montage","2","6","","",""
"105772","Adapter les composants aux caractéristiques du support","2","6","","",""
"105773","Positionner et fixer les composants sur les supports","2","6","","",""
"105775","Vérifier le montage et le câblage (valeur des composants, continuité électrique, ...)","2","6","","",""
"105776","Utilisation de machine d''insertion/pose semi-automatique de composant électronique","1","7","","",""
"105777","Caractéristiques des composants électroniques","1","10","","",""
"105777","Caractéristiques des composants électroniques","1","7","","",""
"105778","Câblage filaire","1","7","","",""
"105779","Réaliser des opérations de traitement par moulage","2","9","","",""
"105780","Réaliser des opérations de traitement par nettoyage (cartes, ...)","2","9","","",""
"105781","Réaliser des opérations de traitement par tropicalisation","2","9","","",""
"105782","Utilisation d''appareil à dessouder","1","10","","",""
"105784","Vérifier l''état des équipements, de l''installation (bonbonnes d''air, vannes d''arrivée, ...) et sécuriser l''ensemble","2","6","","",""
"105787","Réaliser ou adapter les réglages des brûleurs, turbines, alternateurs à partir de commande centralisée","2","6","","",""
"105789","Détecter les dysfonctionnements des installations, déterminer les causes de panne et établir les demandes d''intervention de maintenance","2","6","","",""
"105795","Fonctionnement des installations (turbine, réacteur, incinérateur, alternateur, pompe, ...)","1","7","","",""
"105799","Intervenir sur des chaudières gaz","2","9","","",""
"105800","Intervenir sur des chaudières fioul","2","9","","",""
"105801","Intervenir sur des blocs nucléaires","2","9","","",""
"105802","Intervenir sur des chaudières de cogénération, régénération","2","9","","",""
"105807","Télémanipulation de radioélément","1","10","","",""
"105808","Surveiller et réguler des équipements de production d''énergie nécessitant une habilitation pour la conduite de centrale nucléaire (SN2, SN3, ...)","2","9","","",""
"105810","Propriétés des combustibles (fuel, gaz, ...)","1","10","","",""
"105810","Propriétés des combustibles (fuel, gaz, ...)","1","7","","",""
"105811","Conditions de stockage d''effluents","1","10","","",""
"105812","Vérifier le fonctionnement des installations et des équipements (arche de recuisson, presse, feeders, étireuse, ...)","2","6","","",""
"105817","Prélèvement à chaud","1","10","","",""
"105817","Prélèvement à chaud","1","7","","",""
"105818","Procédures de conduite d''installation en mode manuel","1","7","","",""
"105819","Procédures de conduite d''installation en mode automatique","1","7","","",""
"105820","Procédés de fabrication du verre","1","7","","",""
"105822","Modalités de réglage","1","10","","",""
"105822","Modalités de réglage","1","7","","",""
"105823","Hygiène industrielle","1","10","","",""
"105823","Hygiène industrielle","1","7","","",""
"105824","Intervenir dans l''étape de bobinage (fibre de verre, ...) du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105825","Intervenir dans l''étape de centrifugation (fibre isolation, ...) du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105826","Intervenir dans l''étape de composition du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105827","Intervenir dans l''emboutissage, pressage à chaud dans une étape du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105828","Intervenir dans l''étape d''étirage (verre plat, fibre de verre, ...) du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105829","Intervenir dans l''étape d''extrusion du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105830","Intervenir dans l''étape de fusion du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105831","Intervenir dans l''étape de laminage du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105832","Intervenir dans l''étape de moulage du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105833","Intervenir dans l''étape de préparation et de frittage du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105834","Intervenir dans l''étape de recuisson et refroidissement du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105835","Intervenir dans l''étape de soufflage du processus de transformation de verre (à chaud, à froid)","2","9","","",""
"105837","Procédés d''étirage du verre","1","10","","",""
"105838","Parachever le pliage","2","9","","",""
"105840","Parachever l''ebavurage","2","9","","",""
"105841","Parachever le dépolissage","2","9","","",""
"105842","Parachever le polissage, lustrage","2","9","","",""
"105843","Parachever le sablage","2","9","","",""
"105844","Parachever le perçage, montage et l''assemblage d''éléments","2","9","","",""
"105846","Utilisation d''appareils de contrôle et de mesure (analyseur de gaz, pyromètre optique, voltmètre, ...)","1","10","","",""
"105850","Retirer les produits endommagés et leurs débris de la chaîne de production, évacuer les rebuts et les diriger vers les zones de recyclage, ...","2","6","","",""
"105851","Réaliser un premier diagnostic de dysfonctionnement et appliquer les mesures correctives","2","6","","",""
"105853","Surveiller ou réguler une installation de broyage, concassage, tamisage","2","9","","",""
"105854","Surveiller ou réguler une installation de conditionnement, palettisation, étiquetage","2","9","","",""
"105855","Surveiller ou réguler une installation d''extrusion","2","9","","",""
"105856","Surveiller ou réguler une installation de malaxage","2","9","","",""
"105857","Surveiller ou réguler une installation de remplissage","2","9","","",""
"105858","Surveiller ou réguler une installation thermique (four, étuveuse, ...)","2","9","","",""
"105861","Tri, empilage de pièces","1","10","","",""
"105864","Vérifier l''état des pâtes céramiques ou des matériaux (plasticité, liquidité, ...)","2","6","","",""
"105867","Utilisation d''appareils de mesure spécifique (Manifold, vacuomètre, ...)","1","10","","",""
"105867","Utilisation d''appareils de mesure spécifique (Manifold, vacuomètre, ...)","1","7","","",""
"105869","Procédés de fabrication en céramique","1","10","","",""
"105869","Procédés de fabrication en céramique","1","7","","",""
"105870","Façonner des produits selon des techniques de calibrage automatique","2","9","","",""
"105871","Façonner des produits selon des techniques de calibrage manuel","2","9","","",""
"105872","Façonner des produits selon des techniques de coulage","2","9","","",""
"105873","Façonner des produits selon des techniques d''extrusion","2","9","","",""
"105874","Façonner des produits selon des techniques de moulage","2","9","","",""
"105875","Façonner des produits selon des techniques de pressage","2","9","","",""
"105876","Emailler des produits par trempage","2","9","","",""
"105877","Emailler des produits par projection au pistolet","2","9","","",""
"105878","Emailler des produits par robot d''émaillage","2","9","","",""
"105879","Parachever le garnissage","2","9","","",""
"105881","Parachever le perçage","2","9","","",""
"105882","Parachever le brossage","2","9","","",""
"105883","Parachever la retouche d''émail","2","9","","",""
"105889","Procédures de cuisson de la céramique","1","10","","",""
"105896","Process et formulations de bétons","1","7","","",""
"105897","Process et formulations de ciments","1","7","","",""
"105899","Conditions d''utilisation des adjuvants","1","7","","",""
"105900","Hydrodynamique","1","7","","",""
"105901","Techniques d''étalonnage","1","10","","",""
"105901","Techniques d''étalonnage","1","7","","",""
"105902","Vérifier l''état de l''installation de fusion/transformation de matières","2","6","","",""
"105903","Définir la composition et la quantité de mélange de silice, calcin, oxydes de fer nécessaire aux approvisionnements et aux changements de gammes","2","6","","",""
"105904","Surveiller le déroulement des phases de fusion/transformation du verre et contrôler la température, le débit, ...","2","6","","",""
"105906","Fonctionnement des installations (réfractaires, bouillonneurs, ventilateurs, brûleurs, ...)","1","7","","",""
"105909","Intervenir sur un processus d''affinage","2","9","","",""
"105910","Intervenir sur un processus d''argenture","2","9","","",""
"105911","Intervenir sur un processus d''assemblage de feuilles de verre (vitrages isolants, feuilletés)","2","9","","",""
"105914","Intervenir sur un processus de formage par flottage (float) ou définir les données de programmation","2","9","","",""
"105915","Intervenir sur un processus de fusion ou définir les données de programmation","2","9","","",""
"105920","Intervenir sur un processus de traitement de surface","2","9","","",""
"105921","Intervenir sur un processus de trempe (verre trempé, ...)","2","9","","",""
"105923","Réaliser la coulée des fours","2","9","","",""
"105924","Réaliser l''attrempage et le détrempage des fours","2","9","","",""
"105925","Réaliser le rinçage de fours (dépose d''embouts, ...)","2","9","","",""
"105926","Nettoyer un brûleur","2","9","","",""
"105928","Réaliser le redémarrage de four (brûleur, ...) et de dépollueurs","2","9","","",""
"105933","Identifier les phases d''ajustage et de montage d''éléments, systèmes, ensembles mécaniques à partir du dossier technique ou du modèle","2","6","","",""
"105935","Dimensionner et mettre en forme les pièces, éléments mécaniques par usinage, formage, ... et vérifier leur conformité","2","6","","",""
"105936","Réaliser les ajustements et les finitions et assembler les éléments et les sous-ensembles mécaniques","2","6","","",""
"105936","Réaliser les ajustements et les finitions et assembler les éléments et les sous-ensembles mécaniques","2","9","","",""
"105937","Effectuer le métrage et la mise au point de systèmes, équipements mécaniques et outils de production (moule, outillage...)","2","6","","",""
"105938","Identifier les défauts, les dysfonctionnements et procéder aux modifications, réajustements","2","6","","",""
"105941","Techniques de chaudronnerie","1","10","","",""
"105941","Techniques de chaudronnerie","1","7","","",""
"105942","Techniques de serrurerie","1","10","","",""
"105942","Techniques de serrurerie","1","7","","",""
"105943","Intervenir dans la fabrication d''armurerie","2","9","","",""
"105944","Intervenir dans la fabrication de cellule aéronautique","2","9","","",""
"105946","Intervenir en mécanique de précision","2","9","","",""
"105948","Intervenir avec un moule métallique","2","9","","",""
"105950","Intervenir en optique de précision","2","9","","",""
"105951","Intervenir avec des outils à découper, à emboutir","2","9","","",""
"105952","Intervenir dans le domaine de la chaudronnerie, tôlerie et tuyauterie","2","9","","",""
"105954","Réaliser une opération d''assemblage / montage / ajustage","2","9","","",""
"105955","Réaliser une opération d''alésage / taraudage","2","9","","",""
"105957","Réaliser une opération de dressage / pliage","2","9","","",""
"105958","Réaliser une opération d''électroérosion","2","9","","",""
"105959","Réaliser une opération d''installation montage de panneaux, de mobilier","2","9","","",""
"105960","Réaliser une opération de mortaisage","2","9","","",""
"105961","Réaliser une opération de perçage / sciage","2","9","","",""
"105962","Réaliser une opération de ponçage, polissage","2","9","","",""
"105964","Réaliser une opération de rectification, ébavurage, rodage","2","9","","",""
"105965","Réaliser une opération de rivetage / collage / sertissage","2","9","","",""
"105966","Réaliser une opération de soudage, brasage","2","9","","",""
"105967","Réaliser une opération de taillage d''engrenages","2","9","","",""
"105968","Réaliser une opération de tournage, fraisage","2","9","","",""
"105969","Réaliser une opération d''usinage d''empreintes","2","9","","",""
"105970","Réaliser une opération d''usinage de grande dimension","2","9","","",""
"105971","Intervenir sur des matériaux en métaux ferreux (fonte, acier, ...)","2","9","","",""
"105972","Intervenir sur des matériaux en inox","2","9","","",""
"105973","Intervenir sur des matériaux en aluminium et ses alliages","2","9","","",""
"105974","Intervenir sur des matériaux en cuivre et ses alliages","2","9","","",""
"105975","Intervenir sur des matériaux en nickel, titane","2","9","","",""
"105976","Intervenir sur des matériaux en plastiques et composites","2","9","","",""
"105977","Déterminer les opérations de fabrication d''ensembles chaudronnés et préparer les matériaux","2","6","","",""
"105978","Tracer les développés et reporter les cotes sur les matériaux (plaques, tubes, profilés, ...)","2","6","","",""
"105979","Couper les éléments et les mettre à dimensions et en forme par pliage, cintrage, oxycoupage","2","6","","",""
"105980","Marquer, positionner les pièces, plaques, tubes et les assembler (soudure-pointage, rivet, agrafe, colle, ...)","2","6","","",""
"105981","Contrôler les pièces, l''assemblage et réaliser les finitions (meulage, ébavurage, redressage)","2","6","","",""
"105984","Techniques et procédés d''assemblage","1","7","","",""
"105985","Réaliser des opérations de cisaillage","2","9","","",""
"105986","Réaliser des opérations de découpage laser, plasma","2","9","","",""
"105987","Réaliser des opérations de détourage, poinçonnage","2","9","","",""
"105988","Réaliser des opérations de grignotage","2","9","","",""
"105989","Réaliser des opérations d''oxycoupage","2","9","","",""
"105990","Réaliser des opérations de sciage, tronçonnage","2","9","","",""
"105991","Réaliser des opérations de cintrage, cambrage","2","9","","",""
"105992","Réaliser des opérations de pliage","2","9","","",""
"105993","Réaliser des opérations de roulage","2","9","","",""
"105994","Réaliser des opérations de planage","2","9","","",""
"105995","Réaliser des opérations d''emboutissage","2","9","","",""
"105997","Réaliser un soudage nécessitant la qualification soudage avec électrodes enrobées SMAW (Soudage à l''arc à électrodes enrobées - 111)","2","9","","",""
"105998","Réaliser un soudage nécessitant la qualification soudage avec fil fourré sans gaz Innershield (Soudage à l''arc avec fil fourré autoprotecteur - 114)","2","9","","",""
"105999","Réaliser un soudage nécessitant la qualification soudage sous flux en poudre SAW (Soudage à l''arc sous flux (en poudre) avec un seul fil - 121)","2","9","","",""
"106000","Réaliser un soudage nécessitant la qualification Metal Inert Gas -MIG- (Soudage à l''arc semi automatique MIG avec fil électrode fusible - 131)","2","9","","",""
"106001","Réaliser un soudage nécessitant la qualification Metal Active Gas -MAG- (Soudage à l''arc semi automatique MAG avec fil électrode fusible - 135)","2","9","","",""
"106002","Réaliser un soudage nécessitant la qualification soudage avec fil fourré sous gaz actif (Soudage à l''arc MAG avec fil fourré de flux - 136)","2","9","","",""
"106003","Réaliser un soudage nécessitant la qualification soudage avec fil fourré sous gaz inerte (Soudage à l''arc MIG avec fil fourré - 137)","2","9","","",""
"106004","Réaliser un soudage nécessitant la qualification soudage avec fil fourré sans laitier (Soudage à l''arc semi automatique Metal Active Gas - MAG avec fil poudre métallique - 138)","2","9","","",""
"106005","Réaliser un soudage nécessitant la qualification Tungsten Inert Gas -TIG- (Soudage à l''arc TIG avec fil d''apport - 141)","2","9","","",""
"106006","Réaliser un soudage nécessitant la qualification soudage à la flamme oxyacétylénique - 311","2","9","","",""
"106007","Réaliser un soudage nécessitant la qualification soudage par brasage","2","9","","",""
"106008","Réaliser un soudage nécessitant la qualification soudage par soudobrasage - 97","2","9","","",""
"106009","Réaliser un soudage nécessitant la qualification soudage plasma, micro plasma - 15","2","9","","",""
"106010","Réaliser un soudage nécessitant la qualification soudage par point","2","9","","",""
"106011","Techniques de soudure dans le nucléaire","1","10","","",""
"106012","Techniques de soudure en chimie","1","10","","",""
"106013","Techniques de soudure en aéronautique","1","10","","",""
"106014","Intervenir sur des matériaux en métaux non ferreux","2","9","","",""
"106015","Intervenir sur des matériaux en titane","2","9","","",""
"106016","Intervenir sur des épaisseurs de tôle : de 0,5 à 5 mm","2","9","","",""
"106017","Intervenir sur des épaisseurs de tôle : de 5 à 20 mm","2","9","","",""
"106018","Intervenir sur des épaisseurs de tôle > à 20mm","2","9","","",""
"106029","Identifier les phases d''usinage et les cotes de réglages (tolérances, positions, états de surfaces, ...) de la pièce et des outils","2","6","","",""
"106030","Monter, démonter les pièces, outillages de machines","2","6","","",""
"106030","Monter, démonter les pièces, outillages de machines","2","9","","",""
"106033","Utilisation d''abaques","1","7","","",""
"106034","Utilisation d''équipement conventionnel, semi automatique","1","10","","",""
"106034","Utilisation d''équipement conventionnel, semi automatique","1","7","","",""
"106035","Réaliser une opération d''affûtage","2","9","","",""
"106036","Réaliser une opération d''ajustage","2","9","","",""
"106037","Réaliser une opération d''alésage","2","9","","",""
"106038","Réaliser une opération de brochage","2","9","","",""
"106039","Réaliser une opération de décolletage","2","9","","",""
"106040","Réaliser une opération d''étincelage (électroérosion)","2","9","","",""
"106041","Réaliser une opération de fraisage","2","9","","",""
"106043","Réaliser une opération de rabotage","2","9","","",""
"106044","Réaliser une opération de rectification, rodage","2","9","","",""
"106045","Réaliser une opération de taillage","2","9","","",""
"106046","Réaliser une opération de tournage","2","9","","",""
"106047","Utilisation de centre d''usinage","1","10","","",""
"106048","Utilisation de machine outil à axes multiples","1","10","","",""
"106049","Utilisation de machine outil tripode, hexapode","1","10","","",""
"106050","Techniques d''Usinage Grande Vitesse -UGV-","1","10","","",""
"106051","Procédés d''usinage de haute précision","1","10","","",""
"106052","Procédés d''usinage en micro-mécanique","1","10","","",""
"106053","Procédés d''usinage de moule métallique","1","10","","",""
"106054","Intervenir sur des matériaux en céramique, minéraux","2","9","","",""
"106057","Démarrer, en cadence l''équipement (pilon, presse, filière, laminoir, ...) et alimenter ou positionner la pièce","2","6","","",""
"106058","Surveiller le déroulement des opérations de déformation des métaux, identifier les dysfonctionnements et appliquer les mesures correctives","2","6","","",""
"106060","Utilisation d''appareils de mesure de température","1","7","","",""
"106062","Réaliser une opération de bobinage","2","9","","",""
"106063","Réaliser une opération de coupage/cisaillage (cisaille, ...)","2","9","","",""
"106064","Réaliser une opération d''estampage/extrusion (presse, ...)","2","9","","",""
"106065","Réaliser une opération d''étirage/repoussage","2","9","","",""
"106066","Réaliser une opération de forgeage (pilon hydraulique, pneumatique, martinet, ...)","2","9","","",""
"106067","Réaliser une opération de laminage à chaud (laminoir, train de laminage)","2","9","","",""
"106068","Réaliser une opération de laminage à froid (laminoir, train de laminage)","2","9","","",""
"106069","Réaliser une opération de laminage circulaire (lamineuse circulaire)","2","9","","",""
"106070","Réaliser une opération de matage","2","9","","",""
"106071","Réaliser une opération de tréfilage (tréfileuse, ligne de tréfilage, ...)","2","9","","",""
"106072","Réaliser une opération de tubage","2","6","","",""
"106072","Réaliser une opération de tubage","2","9","","",""
"106074","Procédés de traitement de surface","1","10","","",""
"106075","Procédés de meulage, ébavurage","1","10","","",""
"106075","Procédés de meulage, ébavurage","1","7","","",""
"106076","Former de l''acier, acier inox","2","9","","",""
"106077","Former de l''auminium et ses alliages","2","9","","",""
"106078","Former du cuivre et ses alliages","2","9","","",""
"106079","Former du titane et ses alliages","2","9","","",""
"106080","Sélectionner la pièce (matériaux, formes, dimensions, ...) et identifier l''ordre et la répartition des mises en forme ou découpes","2","6","","",""
"106081","Positionner la pièce sur le support et réaliser la mise en forme ou la coupe","2","6","","",""
"106082","Techniques de manutention et de levage","1","7","","",""
"106083","Réaliser des opérations de bobinage","2","9","","",""
"106084","Réaliser des opérations de découpage (presse à découper, ...)","2","9","","",""
"106085","Réaliser des opérations de détourage (détoureuse, ...)","2","9","","",""
"106086","Réaliser des opérations d''emboutissage (presse à emboutir, ...)","2","9","","",""
"106087","Réaliser des opérations de grignotage (grignoteuse, ...)","2","9","","",""
"106088","Réaliser des opérations d''oxydécoupage (chalumeau, plasma, ...)","2","9","","",""
"106089","Réaliser des opérations de pliage, roulage (plieuse, formeuse, ...)","2","9","","",""
"106090","Réaliser des opérations de poinçonnage (poinçonneuse, ...)","2","9","","",""
"106091","Réaliser des opérations de redressage","2","9","","",""
"106092","Réaliser des opérations de refendage (ligne de refendage, refendeuse, ...)","2","9","","",""
"106093","Réaliser des opérations de repoussage sur tour, fluotournage (tour à repousser, ...)","2","9","","",""
"106094","Réaliser des opérations de sciage, tronçonnage (cisaille, scie, ...)","2","9","","",""
"106096","Utilisation de machine transfert","1","10","","",""
"106099","Procédés d''oxydécoupage","1","10","","",""
"106100","Former, découper du bois, aggloméré","2","9","","",""
"106101","Former, découper des métaux ferreux","2","9","","",""
"106102","Former, découper des métaux non-ferreux","2","9","","",""
"106103","Former, découper des minéraux, pierre","2","9","","",""
"106104","Former, découper des plastiques, composites, élastomères","2","9","","",""
"106105","Former, découper du verre","2","9","","",""
"106106","Intervenir sur des matériaux en forme de barres","2","9","","",""
"106107","Intervenir sur des matériaux en forme de fils","2","9","","",""
"106108","Intervenir sur des matériaux en forme de plaques","2","9","","",""
"106109","Intervenir sur des matériaux à forme profilés, poutres, poutrelles","2","9","","",""
"106110","Intervenir sur des matériaux en forme de tôles épaisses","2","9","","",""
"106111","Intervenir sur des matériaux en forme de tôles fines","2","9","","",""
"106112","Intervenir sur des matériaux en forme de tubes, couronnes","2","9","","",""
"106116","Intervenir sur une opération automatisée de cisaillage, découpage","2","9","","",""
"106117","Intervenir sur une opération automatisée de ferrage","2","9","","",""
"106118","Intervenir sur une opération automatisée de formage, poinçonnage, sertissage","2","9","","",""
"106119","Intervenir sur une opération automatisée de montage, assemblage","2","9","","",""
"106120","Intervenir sur une opération automatisée de soudage sous flux gazeux","2","9","","",""
"106121","Intervenir sur une opération automatisée de soudage sous flux solide, laser, par faisceau d''électrons, par résistance, par ultrason, ...","2","9","","",""
"106122","Intervenir sur une opération automatisée de trempage","2","9","","",""
"106123","Intervenir sur une opération automatisée d''usinage, meulage","2","9","","",""
"106124","Vérifier le fonctionnement de l''installation et des équipements (répartiteur, table de coulée, électrodes, réfractaires, ...)","2","6","","",""
"106126","Surveiller le déroulement des phases de production de métaux","2","6","","",""
"106136","Intervenir dans l''étape d''agglomération des métaux pour la transformation du métal","2","9","","",""
"106137","Intervenir dans l''étape de cokerie pour la transformation du métal","2","9","","",""
"106138","Intervenir dans l''étape d''électrométallurgie pour la transformation du métal","2","9","","",""
"106139","Intervenir dans l''étape de fonderie (coulée sous pression, ...) pour la transformation du métal","2","9","","",""
"106140","Intervenir dans l''étape du four de fusion (à induction, ...) pour la transformation du métal","2","9","","",""
"106141","Intervenir dans l''étape des hauts-fourneaux pour la transformation du métal","2","9","","",""
"106142","Intervenir dans l''étape d''aciérie (train continu à chaud, convertisseur) pour la transformation du métal","2","9","","",""
"106145","Fonctionnement de centrifugeuse","1","10","","",""
"106146","Fonctionnement de cubilot","1","10","","",""
"106147","Réaliser des opérations de moulage par gravité (sable, coquille)","2","9","","",""
"106148","Réaliser des opérations de moulage sous pression","2","9","","",""
"106149","Réaliser des opérations de moulage sous vide","2","9","","",""
"106150","Techniques de poteyage","1","10","","",""
"106150","Techniques de poteyage","1","7","","",""
"106151","Coulée à la louche","1","10","","",""
"106152","Prélèvement d''échantillon à chaud","1","10","","",""
"106153","Découpe de métal","1","10","","",""
"106155","Caractéristiques des rejets","1","10","","",""
"106156","Perçage, dégazage","1","10","","",""
"106156","Perçage, dégazage","1","7","","",""
"106157","Rebouchage, nettoyage de trou de coulée","1","10","","",""
"106158","Déterminer les phases de conception ou les opérations de façonnage de l''outillage","2","6","","",""
"106160","Reporter les cotes sur les matériaux, déterminer les plans de joint, les lignes de dépouille et effectuer les tracés","2","6","","",""
"106161","Former les matériaux par usinage, modelage, découpage, formage, sculpture, ...","2","6","","",""
"106162","Assembler et fixer les éléments selon l''ordre de montage","2","6","","",""
"106163","Réaliser un premier moule ou un moule-mère à partir d''un modèle par enterrage, coffrage, coulage de plâtre, ...","2","6","","",""
"106164","Procéder aux opérations de finition sur les surfaces des modèles, moules, ...","2","6","","",""
"106166","Dosage de matériau (plâtre, résine, ...)","1","7","","",""
"106168","Critères de démoulage (dépouilles, rayons, ...)","1","7","","",""
"106170","Techniques d''estampage","1","10","","",""
"106170","Techniques d''estampage","1","7","","",""
"106171","Caractéristiques techniques des moules","1","7","","",""
"106174","Caractéristiques des plâtres de moulage","1","7","","",""
"106175","Réaliser des opérations de fabrication/d''usinage sur des machines à bois traditionnelles","2","9","","",""
"106176","Réaliser des opérations de fabrication/d''usinage sur des machines de prototypage rapide","2","9","","",""
"106177","Intervenir sur des matériaux en bois","2","9","","",""
"106178","Intervenir sur des matériaux composites","2","9","","",""
"106179","Intervenir sur des matériaux en cire","2","9","","",""
"106180","Utilisation de banc de coulage","1","10","","",""
"106181","Techniques de coulage","1","10","","",""
"106181","Techniques de coulage","1","7","","",""
"106184","Vérifier, positionner et fixer les pièces et les éléments de l''assemblage (bâtis, grappes, gabarits, structures, ...)","2","6","","",""
"106186","Vérifier le montage/assemblage (aspect, parallélisme, jeu, maintien, fonctionnement, ...) et procéder aux ajustements, retouches","2","6","","",""
"106188","Utilisation d''outils de mesure dimensionnelle","1","7","","",""
"106189","Utilisation d''appareil optique","1","10","","",""
"106190","Identifier les phases d''intervention à partir du dossier de production et sélectionner l''outillage adapté","2","6","","",""
"106192","Réaliser les noyaux (remplissage des boîtes à noyau de sable, tassage, positionnement d''armatures, traitement de durcissage, ...)","2","6","","",""
"106193","Remplir le moule de sable, déterminer la position du modèle et réaliser le moulage de l''empreinte, les conduits de coulée et d''évacuation des gaz","2","6","","",""
"106194","Dégager l''empreinte, en contrôler les dimensions, l''état de surface et procéder aux retouches et finitions","2","6","","",""
"106195","Déposer un enduit sur les surfaces moulantes (empreintes, noyaux, ...)","2","6","","",""
"106196","Positionner et fixer les éléments et fermer le moule","2","6","","",""
"106197","Serrage manuel de sable","1","7","","",""
"106198","Serrage mécanisé de sable","1","7","","",""
"106199","Techniques d''étuvage","1","7","","",""
"106200","Caractéristiques de coulée des alliages","1","7","","",""
"106201","Techniques de moulage sur couche","1","7","","",""
"106202","Techniques de moulage en fosse","1","7","","",""
"106203","Techniques de moulage en châssis","1","7","","",""
"106204","Techniques de moulage semi-automatisé","1","7","","",""
"106205","Techniques de remmoulage","1","7","","",""
"106206","Procédures de fermetures de moule","1","7","","",""
"106208","Préparer un moule selon un procédé de plaque-modèle","2","9","","",""
"106209","Préparer un moule selon un procédé de moulage au trousseau","2","9","","",""
"106210","Utilisation de planche à trousser","1","10","","",""
"106211","Techniques de décochage","1","10","","",""
"106212","Techniques d''ébarbage","1","10","","",""
"106214","Reporter les cotes et mesures sur les matériaux et effectuer les tracés","2","6","","",""
"106219","Utilisation d''appareil de mesure optique","1","7","","",""
"106220","Techniques des développés","1","10","","",""
"106220","Techniques des développés","1","7","","",""
"106221","Techniques d''alignement","1","7","","",""
"106222","Techniques de coupage thermique","1","7","","",""
"106225","Intervenir sur des matériaux en fonte","2","9","","",""
"106251","Procédés de façonnage","1","10","","",""
"106252","Procédés de découpage","1","10","","",""
"106254","Techniques d''assemblage et de filetage du textile","1","10","","",""
"106255","Techniques de bonneterie","1","10","","",""
"106256","Identifier les matériaux et les différentes soudures appropriées selon les instructions, documents techniques, plans, ...","2","6","","",""
"106258","Préparer les joints et positionner les pièces, plaques, tubes, profilés entre eux ou sur un support","2","6","","",""
"106259","Assembler et souder différents éléments entre eux ou sur le support","2","6","","",""
"106261","Evaluer les défauts et effectuer les opérations de reprise ou de finition (bord, dépôt, surface, ...)","2","6","","",""
"106262","Intervenir sur des matériaux en acier et ses alliages","2","9","","",""
"106263","Intervenir sur des matériaux en acier revêtu (zingué, galvanisé, plombé, aluminé, plastifié)","2","9","","",""
"106264","Intervenir sur des matériaux en alliages réfractaires, superalliages","2","9","","",""
"106265","Intervenir sur des matériaux en cuivre, nickel et leurs alliages","2","9","","",""
"106266","Intervenir sur des matériaux en titane, magnésium","2","9","","",""
"106269","Préparer les embouts et les bords à souder, à visser et les ajuster","2","6","","",""
"106271","Contrôler la résistance, l''étanchéité du tronçon, de la ligne, de l''installation et réaliser les retouches, réalignements","2","6","","",""
"106273","Utilisation d''instruments d''alignement","1","7","","",""
"106274","Intervenir sur des tuyauteries basse pression","2","9","","",""
"106275","Intervenir sur des tuyauteries en milieu froid","2","9","","",""
"106276","Intervenir sur des tuyauteries à forte épaisseur et grand diamètre de tube","2","9","","",""
"106277","Intervenir sur des tuyauteries à haute pression","2","9","","",""
"106282","Réalisation d''épreuve de ligne","1","10","","",""
"106285","Surveiller le déroulement des cycles de transformation du papier ou du carton","2","6","","",""
"106289","Utilisation d''instruments de contrôle et d''appareils de mesure (tensiomètre, viscosimètre, capteurs, ...)","1","7","","",""
"106290","Chimie et physique du papier/carton","1","7","","",""
"106291","Procédés de fabrication du papier","1","7","","",""
"106293","Organiser ou surveiller le couchage lors d''une ou pusieurs phases de fabrication","2","9","","",""
"106294","Organiser ou surveiller l''égouttage lors d''une ou plusieurs phases de fabrication","2","9","","",""
"106296","Organiser ou surveiller l''enroulage lors d''une ou plusieurs phases de fabrication","2","9","","",""
"106297","Organiser ou surveiller le lissage lors d''une ou plusieurs phases de fabrication","2","9","","",""
"106299","Organiser ou surveiller le séchage lors d''une ou plusieurs phases de fabrication","2","9","","",""
