"code_ogr","libelle","code_type_referentiel","code_ref_rubrique","code_tete_rgpmt","libelle_activite_impression","libelle_en_tete_regroupement"
"100236","Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle","2","6","","",""
"100238","Surveiller la route du bateau, identifier les écarts et ajuster les paramètres de navigation","2","6","","",""
"100239","Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche","2","6","","",""
"100240","Sécuriser l''embarcation (contrôle des équipements, identification des risques d''avarie) et mettre en oeuvre des moyens palliatifs","2","6","","",""
"100243","Utilisation d''équipement de secours et de sauvetage","1","10","","",""
"100243","Utilisation d''équipement de secours et de sauvetage","1","7","","",""
"100244","Typologie des navires","1","7","","",""
"100246","Règles de sécurité maritime","1","10","","",""
"100246","Règles de sécurité maritime","1","7","","",""
"100248","Droit maritime","1","10","","",""
"100248","Droit maritime","1","7","","",""
"100249","Economie des pêches","1","7","","",""
"100251","Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...)","1","10","","",""
"100251","Utilisation de matériel de signalisation et de sécurité (balise, panneaux, ...)","1","7","","",""
"100252","Langage Morse","1","10","","",""
"100253","Anglais maritime","1","10","","",""
"100256","Dispenser les soins préventifs ou curatifs aux animaux","2","6","","",""
"100259","Utilisation de matériel de nettoyage","1","10","","",""
"100259","Utilisation de matériel de nettoyage","1","7","","",""
"100261","Zootechnie","1","7","","",""
"100262","Procédures de nettoyage et de désinfection","1","10","","",""
"100262","Procédures de nettoyage et de désinfection","1","7","","",""
"100263","Réaliser des déplacements nécessitant un certificat de transport d''animaux vivants","2","9","","",""
"100264","Potentiel généalogique","1","10","","",""
"100266","Méthodes d''insémination","1","10","","",""
"100271","Techniques de toilettage","1","10","","",""
"100272","Techniques de maréchalerie","1","10","","",""
"100280","Vérifier l''état de fonctionnement des équipements (chaudière, système d''extraction d''air, ...) et réaliser la maintenance de premier niveau des installations","2","6","","",""
"100285","Annexes Convention de Washington (CITES)","1","10","","",""
"100285","Annexes Convention de Washington (CITES)","1","7","","",""
"100286","Techniques de soudure","1","10","","",""
"100286","Techniques de soudure","1","7","","",""
"100290","Modalités de stockage","1","10","","",""
"100290","Modalités de stockage","1","7","","",""
"100295","Préparer les aliments et les distribuer aux animaux","2","6","","",""
"100295","Préparer les aliments et les distribuer aux animaux","2","9","","",""
"100298","Procédés d''accouvage","1","10","","",""
"100300","Répartir les animaux dans des locaux d''élevage ou en plein air","2","6","","",""
"100302","Techniques de contention animale","1","7","","",""
"100303","Modalités de transport d''animaux","1","10","","",""
"100304","Procédure de traite","1","10","","",""
"100305","Techniques d''arrosage","1","10","","",""
"100307","Prélever les semences des verrats et les analyser en laboratoire","2","6","","",""
