"code_ogr","riasec_majeur","riasec_mineur"
"106969","R",""
"106970","R",""
"106971","R",""
"106981","R",""
"106982","R",""
"106985","R",""
"106986","C","R"
"106989","R",""
"106990","R",""
"106991","R",""
"106992","R",""
"106993","R",""
"106994","R",""
"106995","R",""
"106996","R",""
"106998","R",""
"106999","R",""
"107000","R",""
"107016","R",""
"107017","R",""
"107032","R",""
"107033","R",""
"107034","R",""
"107035","R",""
"107036","R",""
"107037","R",""
"107042","R",""
"107046","R",""
"107047","R",""
"107057","R",""
"107058","R",""
"107059","R",""
"107060","R",""
"107061","R",""
"107062","R",""
"107063","R",""
"107064","R",""
"107065","R",""
"107066","R",""
"107067","R",""
"107068","R",""
"107076","R",""
"107077","R",""
"107081","R",""
"107082","R",""
"107083","R",""
"107096","C",""
"107097","R",""
"107098","C",""
"107099","R",""
"107100","R","C"
"107101","R","C"
"107106","R",""
"107107","R",""
"107108","R",""
"107109","R",""
"107110","R",""
"107111","R",""
"107112","R",""
"107113","R",""
"107114","R",""
"107115","R",""
"107116","R",""
"107117","R",""
"107118","R",""
"107119","R",""
"107120","R",""
"107121","R",""
"107122","R",""
"107123","R",""
"107124","R",""
"107125","R",""
"107126","R",""
"107127","R",""
"107128","R",""
"107129","R",""
"107130","R",""
"107131","R",""
"107132","R",""
"107133","R",""
"107134","R",""
"107135","R",""
"107136","R",""
"107140","R",""
"107141","R",""
"107142","R",""
"107145","R",""
"107146","R",""
"107147","R",""
"107148","R",""
"107149","R",""
"107150","R",""
"107151","R",""
"107152","R",""
"107153","R",""
"107154","R",""
"107155","R",""
"107165","R",""
"107166","R",""
"107169","R",""
"107170","R",""
"107171","R",""
"107172","R",""
"107173","R",""
"107174","R",""
"107175","R",""
"107176","R",""
"107177","R",""
"107179","I","S"
"107180","I","S"
"107183","I","R"
"107184","S","R"
"107186","S",""
"107196","I","S"
"107197","I","S"
"107198","I","S"
"107199","I","S"
"107200","I","S"
"107201","C","S"
"107227","I","R"
"107228","I","S"
"107229","I","R"
"107242","I","C"
"107243","I","S"
"107244","I","C"
"107245","I","C"
"107249","I","S"
"107250","I","S"
"107251","R","I"
"107252","I","S"
"107253","R",""
"107254","S","I"
"107256","I","R"
"107257","I","R"
"107258","I","R"
"107259","I","R"
"107260","I","R"
"107262","I","S"
"107263","S",""
"107264","S","I"
"107265","S","I"
"107266","S","I"
"107267","S","I"
"107271","C","I"
"107272","C","I"
"107275","S",""
"107276","S",""
"107277","S",""
"107278","S",""
"107279","S",""
"107291","C",""
"107292","C",""
"107294","C","I"
"107309","C",""
"107310","E","S"
"107311","C","S"
"107317","C",""
"107318","C",""
"107319","I","C"
"107324","R",""
"107327","C","R"
"107333","R",""
"107334","S",""
"107341","C",""
"107342","R","I"
"107343","C","R"
"107344","C","I"
"107346","C","R"
"107353","S","C"
"107356","R",""
"107357","S","C"
"107359","C","R"
"107368","S",""
"107369","S","C"
"107370","S","R"
"107371","S",""
"107372","C","R"
"107387","C","R"
"107388","R","S"
"107393","R",""
"107394","R",""
"107395","R",""
"107396","R",""
"107398","I","S"
"107399","C","R"
"107400","R",""
"107401","C",""
"107405","R",""
"107406","R",""
"107407","R",""
"107408","R",""
"107409","R",""
"107410","R",""
"107411","R",""
"107419","I","S"
"107423","C",""
"107429","I","S"
"107430","I","S"
"107431","S","R"
"107432","R","C"
"107434","R",""
"107443","S",""
"107444","I","S"
"107445","S",""
"107447","S","E"
"107448","S",""
"107449","I","S"
"107459","S","R"
"107461","E",""
"107463","S","I"
"107465","S","I"
"107472","I","S"
"107473","S","I"
"107474","S","I"
"107475","S","I"
"107476","S","R"
"107477","S","I"
"107484","R","S"
"107485","S",""
"107486","R","S"
"107487","R","S"
"107489","S",""
"107492","I","S"
"107493","S","R"
"107494","I","S"
"107495","S","I"
"107496","S","R"
"107497","S","I"
"107505","S","R"
"107506","S","R"
"107513","I","R"
"107514","R","S"
"107515","R","S"
"107519","S",""
"107520","C","I"
"107521","R","A"
"107529","I","S"
"107530","I","S"
"107531","I","S"
"107532","S","I"
"107533","S","I"
"107540","R","S"
"107541","S","I"
"107542","S","I"
"107543","S","I"
"107544","S","R"
"107545","S","I"
"107546","S","I"
"107547","S","I"
"107548","S","I"
"107557","I","S"
"107558","I","S"
"107559","I","S"
"107560","S","I"
"107561","S","I"
"107567","C","I"
"107571","I","S"
"107572","S","I"
"107573","I","S"
"107574","S","I"
"107575","I","S"
"107576","S","I"
"107581","R","S"
"107582","R","S"
"107583","R","S"
"107584","R","S"
"107585","R","S"
"107586","R","S"
"107587","I","S"
"107588","I","S"
"107590","S","C"
"107591","I","S"
"107592","S","R"
"107593","C","I"
"107594","S","R"
"107595","R",""
"107596","S","I"
"107603","S",""
"107608","R","C"
"107609","R",""
"107610","R",""
"107611","R","A"
"107612","R","I"
"107613","C","R"
"107617","R","I"
"107618","R","I"
"107619","R","I"
"107620","R","I"
"107621","R","I"
"107622","R","I"
"107623","R","I"
"107624","R","I"
"107626","I","S"
"107627","I","S"
"107628","I","S"
"107630","R",""
"107634","R","I"
"107635","R","I"
"107636","R","I"
"107637","R","I"
"107638","R","I"
"107639","R","I"
"107640","R","I"
"107641","R","I"
"107643","I","S"
"107644","S","I"
"107645","S","I"
"107647","S","A"
"107655","S",""
"107656","S",""
"107657","S",""
"107658","S","C"
"107659","S",""
"107660","R","C"
"107661","I","R"
"107662","S",""
"107663","S","C"
"107664","R",""
"107697","C","R"
"107698","R",""
"107699","S","I"
"107700","C","I"
"107701","S",""
"107702","S","I"
"107703","C","S"
"107714","C","R"
"107715","R","I"
"107716","R",""
"107722","R","I"
"107723","R","I"
"107724","C","R"
"107726","C","I"
"107727","S",""
"107729","S",""
"107731","S",""
"107733","C","R"
"107736","I","S"
"107737","C","R"
"107738","S",""
"107739","S","I"
"107740","S",""
"107744","E","R"
"107745","R","I"
"107746","R","S"
"107747","S","I"
"107749","S",""
"107750","S",""
"107752","S",""
"107753","R","I"
"107758","S",""
"107759","S","C"
"107760","S","I"
"107762","S",""
"107769","I","S"
"107770","S",""
"107771","S",""
"107773","S",""
"107788","S","C"
"107792","I","S"
"107793","S","A"
"107810","S",""
"107811","S","R"
"107814","I","S"
"107815","I","S"
"107816","S",""
"107822","I","C"
"107823","S","C"
"107834","S","C"
"107840","S","E"
"107841","S","C"
"107848","S",""
"107850","S",""
"107851","S",""
"107856","S","A"
"107872","C","E"
"107873","C",""
"107874","S","E"
"107876","C","R"
"107881","R",""
"107882","S",""
"107883","S",""
"107884","E",""
"107885","S",""
"107886","S",""
"107887","S","C"
"107894","S","I"
"107896","S","A"
"107898","S",""
"107904","S","C"
"107905","C","S"
"107906","S",""
"107907","S",""
"107908","S","C"
"107910","S","I"
"107913","S","I"
"107915","S",""
"107916","S","R"
"107917","S",""
"107920","S","C"
"107922","S","R"
"107923","S",""
"107931","S",""
"107933","S","C"
"107934","R",""
"107935","S","R"
"107936","S",""
"107937","S",""
"107938","I","S"
"107942","S",""
"107943","S",""
"107944","S",""
"107945","S",""
"107946","S",""
"107948","R",""
"107953","S","C"
"107957","R",""
"107961","S",""
"107964","C",""
"107975","E","C"
"107976","E","S"
"107977","E","C"
"107978","E","I"
"107980","E","C"
"107994","I","S"
"107996","C",""
"107997","I","E"
"107998","R","S"
"108002","R","I"
"108004","R","I"
"108005","C","S"
"108006","C","S"
"108007","C","S"
"108008","C","S"
"108009","C","S"
"108010","C","S"
"108011","E",""
"108020","E","S"
"108021","E","S"
"108022","E","S"
"108023","E","S"
"108030","C","I"
"108031","E",""
"108033","E",""
"108035","C","I"
"108041","R",""
"108052","E","C"
"108053","E","S"
"108054","E","C"
"108055","C",""
"108058","E",""
"108059","E",""
"108060","E",""
"108089","C",""
"108104","C","I"
"108128","C",""
"108149","A","E"
"108150","A","C"
"108153","S","I"
"108155","A","I"
"108161","A",""
"108162","A",""
"108163","A",""
"108164","S",""
"108165","A","R"
"108176","S","E"
"108186","R",""
"108188","E",""
"108190","R",""
"108194","R",""
"108195","R",""
"108196","R",""
"108197","R",""
"108199","R",""
"108200","R",""
"108210","C",""
"108217","C",""
"108218","C","I"
"108224","R",""
"108225","R",""
"108228","E","I"
"108230","R","S"
"108231","C",""
"108232","R","C"
"108242","R","S"
"108250","R",""
"108251","R","S"
"108253","S","E"
"108254","C",""
"108255","C",""
"108256","C",""
"108258","C",""
"108264","C",""
"108266","R","S"
"108267","C",""
"108272","C",""
"108273","C",""
"108274","C",""
"108275","C",""
"108276","C",""
"108287","S",""
"108293","E",""
"108295","S","A"
"108304","E","R"
"108323","C",""
"108356","S","I"
"108359","S","I"
"108360","S","I"
"108364","S",""
"108380","C","S"
"108381","C","S"
"108382","C","S"
"108383","C","S"
"108387","S",""
"108394","C","S"
"108395","S","C"
"108396","C",""
"108397","C","S"
"108400","C","S"
"108401","C",""
"108406","S",""
"108408","S",""
"108411","S",""
"108412","S","I"
"108414","S","I"
"108415","S","A"
"108416","S","A"
"108468","S",""
"108469","S",""
"108470","S",""
"108471","S","C"
"108472","I","S"
"108474","C","S"
"108475","S",""
"108476","S","I"
"108477","S",""
"108480","S",""
"108489","S","I"
"108490","S","C"
"108491","C","S"
"108507","S",""
"108508","S",""
"108517","S","I"
"108518","S",""
"108519","C","I"
"108520","I",""
"108521","R","S"
"108539","C","I"
"108633","R",""
"108643","S","I"
"108644","I","S"
"108645","S",""
"108655","R",""
"108656","R",""
"108677","R",""
"108678","R",""
"108679","R",""
"108689","C",""
"108712","R",""
"108713","R",""
"108714","R",""
"108733","C","R"
"108740","R",""
"108742","R",""
"108743","R",""
"108744","R",""
"108745","R",""
"108746","R",""
"108747","R",""
"108748","R",""
"108749","R",""
"108752","R",""
"108753","R",""
"108754","R",""
"108755","R",""
"108757","R",""
"108760","C",""
"108770","C","R"
"108781","R",""
"108783","I",""
"108784","I",""
"108785","I","E"
"108786","C","I"
"108787","I","C"
"108788","I","E"
"108811","C",""
"108813","I","C"
"108819","C",""
"108821","C","R"
"108822","C","S"
"108823","E",""
"108842","C",""
"108843","C","R"
"108844","C","R"
"108845","S",""
"108846","C",""
"108857","C","R"
"108858","R","C"
"108859","R",""
"108860","C",""
"108864","R",""
"108865","R",""
"108866","R",""
"108867","R",""
"108868","R",""
"108871","R",""
"108872","R","S"
"108873","R",""
"108874","S","R"
"108875","S",""
"108879","C",""
"108880","S","C"
"108881","C",""
"108883","C","S"
"108884","C",""
"108885","R",""
"108886","R",""
"108887","R","A"
"108888","A","R"
"108897","A","E"
"108913","R","A"
"109109","A",""
"109110","A",""
"109111","A",""
"109112","A",""
"109113","A",""
"109114","C","A"
"109115","A",""
"109116","A",""
"109117","A",""
"109118","A",""
"109134","I",""
"109148","C",""
"109154","A",""
"109155","A",""
"109177","R",""
"109178","R","E"
"109179","E","R"
"109180","C",""
"109181","R","E"
"109186","A",""
"109187","C","A"
"109188","A",""
"109189","A","R"
"109190","A","R"
"109191","A","R"
"109209","C",""
"109210","C","A"
"109211","A","R"
"109232","R",""
"109233","C",""
"109252","R",""
"109298","A",""
"109302","A","R"
"109333","C","A"
"109351","E",""
"109352","E",""
"109354","E","I"
"109381","E","C"
"109395","C",""
"109400","C",""
"109420","E","C"
"109423","C",""
"109466","E",""
"109467","E","R"
"109468","E","I"
"109469","E","R"
"109470","E","I"
"109484","C",""
"109511","E","C"
"109521","I",""
"109527","I","C"
"109528","I","C"
"109529","I","C"
"109542","I","C"
"109565","S","E"
"109572","C","I"
"109573","C","I"
"109582","S","E"
"109584","E",""
"109590","C",""
"109596","E",""
"109599","S","E"
"109607","S",""
"109618","R",""
"109620","C",""
"109624","R","C"
"109642","C",""
"109669","C",""
"109674","S","C"
"109691","C","E"
"109698","C","R"
"109703","E",""
"109704","E",""
"109733","E",""
"109734","E",""
"109735","E",""
"109784","R","I"
"109785","R","I"
"109797","E","R"
"109798","E",""
"109800","E","R"
"109801","I","R"
"109802","E",""
"109807","E","I"
"109809","E","R"
"109810","E",""
"109813","E",""
"109816","R","C"
"109818","I","R"
"109819","I","R"
"109820","I","R"
"109821","R","C"
"109822","I","R"
"109845","I","R"
"109846","I","R"
"109906","C","R"
"109907","R","C"
"109908","R","I"
"109916","C","R"
"109917","C","I"
"109918","I","C"
"109920","R",""
"109921","C","I"
"109922","I","R"
"109968","C","I"
"109969","I","R"
"109971","R","I"
"109973","I","R"
"109979","R","C"
"109980","R","C"
"109981","R","C"
"109982","R","C"
"109983","R","C"
"109984","R","C"
"109985","R","C"
"109986","R","C"
"109987","R",""
"109991","C","R"
"109992","R","C"
"110012","R",""
"110024","R",""
"110025","R",""
"110026","R",""
"110036","R",""
"110038","C",""
"110044","R",""
"110045","C",""
"110055","R",""
"110056","R",""
"110057","R",""
"110058","R",""
"110059","R",""
"110060","R",""
"110062","R",""
"110063","R",""
"110064","R",""
"110065","R",""
"110066","R",""
"110069","R",""
"110072","R","C"
"110074","R","C"
"110078","E","C"
"110080","C",""
"110088","C","R"
"110089","E","R"
"110090","E","R"
"110091","C","R"
"110092","E","R"
"110093","E","R"
"110097","C",""
"110098","C","E"
"110099","C",""
"110100","C",""
"110104","C",""
"110105","C",""
"110106","C",""
"110107","C",""
"110108","C",""
"110113","C",""
"110127","E","C"
"110153","R","I"
"110155","C","E"
"110156","R","S"
"110163","R",""
"110164","R",""
"110165","R",""
"110166","R","C"
"110167","C","R"
"110168","C","R"
"110169","E","R"
"110170","R",""
"110171","R","I"
"110172","C",""
"110207","R",""
"110208","R",""
"110209","R",""
"110210","R",""
"110211","R",""
"110212","R",""
"110213","R",""
"110214","R",""
"110215","R",""
"110216","R",""
"110217","R",""
"110218","R",""
"110219","R",""
"110220","R",""
"110221","R",""
"110223","S","C"
"110224","S","C"
"110225","C","R"
"110226","C","R"
"110227","C",""
"110233","C","R"
"110234","R",""
"110235","C",""
"110236","C","I"
"110237","C",""
"110238","C",""
"110247","C",""
"110248","C",""
"110249","C",""
"110250","C",""
"110251","C",""
"110252","C",""
"110253","C",""
"110254","C",""
"110255","C",""
"110256","C",""
"110257","C",""
"110261","C","R"
"110262","R",""
"110265","R",""
"110266","C",""
"110271","R",""
"110272","R",""
"110273","R",""
"110274","R",""
"110275","R",""
"110276","R",""
"110277","R",""
"110278","R",""
"110279","R",""
"110280","R",""
"110281","R",""
"110282","R",""
"110283","R",""
"110287","C","I"
"110288","C","R"
"110289","C","R"
"110290","C",""
"110291","E","C"
"110292","C","I"
"110299","R","C"
"110300","C",""
"110301","C","R"
"110302","C","R"
"110303","E","C"
"110305","E",""
"110306","E","C"
"110307","E","C"
"110308","E","C"
"110309","E",""
"110310","E","C"
"110312","I","C"
"110313","E","R"
"110351","R",""
"110352","R",""
"110355","R",""
"110356","R",""
"110360","R",""
"110361","R",""
"110362","C","R"
"110363","R",""
"110365","R",""
"110369","R",""
"110370","R",""
"110371","R",""
"110372","R",""
"110373","R",""
"110374","R",""
"110375","R",""
"110376","R",""
"110377","R",""
"110378","R",""
"110379","R",""
"110380","R",""
"110381","R",""
"110382","R",""
"110383","R",""
"110392","R","C"
"110393","R",""
"110394","R",""
"110395","C",""
"110404","R",""
"110405","R",""
"110406","R",""
"110407","R",""
"110408","R",""
"110409","R",""
"110410","R",""
"110411","R",""
"110412","R",""
"110413","R",""
"110414","R",""
"110415","R",""
"110416","R",""
"110417","R",""
"110418","R",""
"110419","C",""
"110420","R",""
"110421","R",""
"110422","R",""
"110426","C","R"
"110427","C",""
"110428","C",""
"110429","C",""
"110434","C",""
"110435","R","S"
"110436","C",""
"110437","C",""
"110438","C",""
"110439","C","R"
"110440","C",""
"110441","R",""
"110445","C",""
"110446","C","R"
"110450","C",""
"110451","C",""
"110452","R",""
"110454","R",""
"110455","R",""
"110456","R","C"
"110473","C",""
"110474","C","R"
"110494","R",""
"110499","R",""
"110500","R",""
"110501","R",""
"110502","R",""
"110503","R",""
"110504","R",""
"110507","S","C"
"110509","R",""
"110514","R",""
"110515","R",""
"110518","R",""
"110520","R",""
"110521","R",""
"110522","R",""
"110523","R","C"
"110524","S","C"
"110526","R",""
"110527","C","R"
"110528","R",""
"110529","R",""
"110533","R",""
"110534","R",""
"110535","R","S"
"110536","R","S"
"110537","R",""
"110538","R",""
"110539","R",""
"110540","R",""
"110541","R",""
"110542","R",""
"110543","R",""
"110546","R",""
"110560","R",""
"110561","R",""
"110562","R",""
"110563","R",""
"110564","R",""
"110565","R",""
"110567","R",""
"110568","R",""
"110569","R",""
"110570","R",""
"110572","E","R"
"110574","C","R"
"110578","E","C"
"110579","E","C"
"110580","E","C"
"110581","E","C"
"110582","E","C"
"110583","E","C"
"110589","E","S"
"110592","E","R"
"110593","E","R"
"110594","E","R"
"110595","E","R"
"110602","C",""
"110603","C","R"
"110605","R","S"
"110608","C","R"
"110609","C","R"
"110611","C","S"
"110612","C","R"
"110613","C","R"
"110614","C","R"
"110615","C","R"
"110616","C","R"
"110617","C","R"
"110619","C","R"
"110621","R",""
"110625","R",""
"110626","R",""
"110627","R",""
"110628","R",""
"110629","R",""
"110630","R",""
"110631","R",""
"110632","R",""
"110633","R",""
"110634","R",""
"110636","S",""
"110637","C",""
"110638","R","C"
"110645","C",""
"110646","R",""
"110648","C","R"
"110649","C",""
"110656","R","C"
"110657","S","C"
"110658","C",""
"110659","C",""
"110663","R",""
"110664","R",""
"110665","R",""
"110666","R",""
"110667","R",""
"110668","R",""
"110669","R",""
"110670","R",""
"110671","R",""
"110672","R",""
"110674","R",""
"110675","R",""
"110676","C",""
"110677","C",""
"110683","R",""
"113305","E","I"
"113307","E",""
"113308","I","R"
"113309","I","C"
"113310","R","I"
"113315","I","R"
"113317","I","R"
"113321","I","R"
"113325","E",""
"113330","I","E"
"113362","C",""
"113363","C",""
"113391","E","C"
"113407","C",""
"113425","C","E"
"113436","C","R"
"113439","E","R"
"113517","I","E"
"113547","E","C"
"113624","E","R"
"113640","I","C"
"113667","E",""
"113669","R",""
"113678","R","C"
"113700","R","A"
"113706","S","R"
"113709","C","R"
"113710","C","I"
"113713","R",""
"113738","C",""
"113741","I","C"
"113748","I",""
"113751","R",""
"113754","R",""
"113759","A",""
"113770","I","E"
"113773","R",""
"113775","R","C"
"113776","C",""
"113781","S",""
"113782","C",""
"113786","C",""
"113789","R",""
"113793","R",""
"113810","S",""
"113815","I","E"
"113817","A",""
"113818","C",""
"113823","R","E"
"113824","R","C"
"113827","C",""
"113830","C",""
"113831","C",""
"113834","I","E"
"113835","E","S"
"113837","C","R"
"113838","S",""
"113850","R",""
"113851","C",""
"113854","I","R"
"113863","R",""
"113865","R","I"
"113866","R",""
"113872","C",""
"113875","S","R"
"113876","S","R"
"113883","C",""
"113889","I","R"
"113906","R",""
"113910","R","C"
"113911","C",""
"113917","R","A"
"113922","R","S"
"113923","R","I"
"113927","R",""
"113929","R",""
"113931","C","R"
"113933","C","R"
"113938","C",""
"113939","R",""
"113941","R",""
"113946","R","I"
"113949","R","C"
"113951","C",""
"113952","C",""
"113953","R",""
"113954","S",""
"113955","R","A"
"113958","R",""
"113962","R",""
"113966","E","I"
"113977","R","A"
"113980","I","A"
"113983","R",""
"113991","R","C"
"113995","R","I"
"114000","R","A"
"114001","R","A"
"114003","R","A"
"114007","R","A"
"114008","C",""
"114013","R","A"
"114038","C","E"
"114043","C","I"
"114050","S","I"
"114076","C",""
"114096","C",""
"114097","S","R"
"114105","C",""
"114110","R",""
"114111","R",""
"114115","R",""
"114123","A","I"
"114126","R","A"
"114127","S","R"
"114129","S",""
"114131","A","R"
"114132","R",""
"114133","R",""
"114137","C","R"
"114141","R",""
"114143","R",""
"114145","C",""
"114147","S","A"
"114149","E","R"
"114151","R",""
"114152","C",""
"114154","R","C"
"114156","A","S"
"114166","E","C"
"114178","R","E"
"114179","C",""
"114182","C","R"
"114184","C",""
"114188","I","E"
"114194","A",""
"114195","R",""
"114196","E","A"
"114197","E","I"
"114198","E","A"
"114199","A","I"
"114203","S",""
"114204","C","I"
"114207","C",""
"114208","E",""
"114210","C",""
"114212","E","A"
"114213","R",""
"114218","R",""
"114220","A",""
"114222","A","C"
"114223","R","C"
"114224","R",""
"114228","A","R"
"114230","R",""
"114231","R",""
"114233","R",""
"114234","R","E"
"114236","R","C"
"114238","C","I"
"114241","C",""
"114242","C","E"
"114243","C",""
"114248","R","S"
"114249","C",""
"114251","E","I"
"114255","I",""
"114259","R","C"
"114261","R","C"
"114262","R","A"
"114265","R","A"
"114266","R","C"
"114267","I","R"
"114269","R","E"
"114271","R",""
"114273","I",""
"114274","R","I"
"114275","R","I"
"114276","R","I"
"114278","R",""
"114279","I","R"
"114280","E","C"
"114281","R","I"
"114287","R","A"
"114288","R","I"
"114289","R",""
"114290","R",""
"114291","R","I"
"114293","R","I"
"114307","C",""
"114308","R",""
"114309","R","C"
"114310","C","R"
"114313","R","C"
"114316","R",""
"114321","R",""
"114322","R",""
"114329","I","R"
"114337","R",""
"114338","R",""
"114346","R",""
"114347","R",""
"114349","R",""
"114351","R",""
"114353","R",""
"114354","R",""
"114355","R",""
"114356","R",""
"114365","R",""
"114366","R",""
"114372","R",""
"114373","R",""
"114384","R",""
"114385","R",""
"114387","R",""
"114388","R",""
"114390","R",""
"114392","R",""
"114394","A","R"
"114395","R",""
"114396","R",""
"114398","R",""
"114406","R",""
"114411","R",""
"114416","R",""
"114421","R",""
"114428","R",""
"114429","R",""
"114430","R",""
"114438","R",""
"114439","R",""
"114446","E",""
"114449","R","A"
"114454","C",""
"114455","R","A"
"114456","E","R"
"114457","R","E"
"114459","C",""
"114460","R",""
"114461","C",""
"114462","R",""
"114463","C",""
"114467","S",""
"114468","C",""
"114469","R","S"
"114471","S","C"
"114486","S","C"
"114487","C","R"
"114491","E","S"
"114503","C","E"
"114504","R",""
"114505","R",""
"114513","C","R"
"114522","C",""
"114523","E","C"
"114524","R",""
"114525","R",""
"114527","S","C"
"114528","S","C"
"114533","R",""
"114534","R",""
"114536","E","R"
"114538","R",""
"114539","E","A"
"114541","E","A"
"114544","R",""
"114546","R","A"
"114547","C","R"
"114548","C",""
"114549","R","S"
"114550","R",""
"114551","R","I"
"114552","R",""
"114556","A",""
"114558","R",""
"114561","A","E"
"114562","R","C"
"114564","I",""
"114579","R","C"
"114580","I","R"
"114581","R","E"
"114584","R","I"
"114585","I",""
"114586","R","A"
"114595","R","C"
"114598","R",""
"114604","C","R"
"114605","C","I"
"114606","C","R"
"114607","R",""
"114608","C",""
"114609","C","R"
"114613","C",""
"114617","C","I"
"114622","I","R"
"114625","R",""
"114626","R",""
"114633","S","I"
"114634","S",""
"114635","C",""
"114637","I","C"
"114640","I","C"
"114641","I","S"
"114642","C",""
"114644","R",""
"114645","R",""
"114647","R",""
"114654","R",""
"114662","R",""
"114663","I","R"
"114664","R",""
"114665","R",""
"114666","R",""
"114669","R",""
"114670","R","C"
"114677","R","A"
"114680","R","I"
"114690","R",""
"114692","R",""
"114693","R","S"
"114698","R","C"
"114700","R",""
"114702","R",""
"114703","R","I"
"114705","R",""
"114708","R",""
"114710","R","C"
"114711","C","R"
"114713","R",""
"114714","R",""
"114715","R",""
"114716","C","R"
"114717","R",""
"114720","R","I"
"114722","R",""
"114723","I","R"
"114724","R","S"
"114725","R","A"
"114727","R","C"
"114728","I","R"
"114729","R",""
"114730","R",""
"114732","R",""
"114733","C","E"
"114734","C",""
"114738","C","R"
"114741","C",""
"114742","R",""
"114748","R","C"
"114749","I","R"
"114751","R",""
"114752","R",""
"114753","R",""
"114754","R",""
"114755","R",""
"114757","I","R"
"114758","R",""
"114759","R",""
"114760","R",""
"114762","I","R"
"114763","C",""
"114765","R",""
"114767","R",""
"114770","R",""
"114771","R",""
"114773","C",""
"114774","R",""
"114777","R","I"
"114780","C","R"
"114784","R",""
"114786","R",""
"114787","R","C"
"114788","I",""
"114789","C","R"
"114792","I","R"
"114793","I","R"
"114794","R",""
"114799","R","C"
"114801","R",""
"114802","R",""
"114803","I","R"
"114804","C",""
"114806","R",""
"114807","R",""
"114809","R",""
"114810","R",""
"114811","R",""
"114814","R",""
"114815","R",""
"114816","R",""
"114817","R",""
"114819","R","S"
"114821","R",""
"114822","R",""
"114823","R",""
"114824","R",""
"114825","R",""
"114826","I","R"
"114827","R",""
"114828","R",""
"114829","I",""
"114831","C","R"
"114832","R",""
"114833","R",""
"114837","C","R"
"114839","R","C"
"114845","R",""
"114846","R",""
"114849","R",""
"114850","R",""
"114851","R",""
"114853","C",""
"114858","C",""
"114860","R","C"
"114861","R",""
"114862","R",""
"114864","R",""
"114865","R",""
"114866","R",""
"114867","R","A"
"114875","R","C"
"114876","R","I"
"114878","R","C"
"114883","C",""
"114884","S","C"
"114886","C",""
"114888","C",""
"114889","R",""
"114894","R",""
"114902","C",""
"114904","R",""
"114905","I","R"
"114906","C","R"
"114907","R","I"
"114908","R",""
"114910","C","R"
"114919","I","R"
"114920","R",""
"114923","I","C"
"114926","R",""
"114933","R","C"
"114934","R",""
"114938","R",""
"114940","R","I"
"114941","R",""
"114944","R",""
"114945","R",""
"114946","R",""
"114948","R",""
"114949","S","R"
"114953","I","R"
"114954","R","S"
"114955","S","C"
"114956","R","C"
"114960","R",""
"114961","R",""
"114968","R",""
"114969","R",""
"114970","R","C"
"114974","R",""
"114975","R",""
"114976","R",""
"114977","R","C"
"114978","R",""
"114980","R","C"
"114981","R",""
"114983","R",""
"114985","R",""
"114986","R","C"
"114987","R",""
"114989","I","S"
"114991","S","C"
"114993","I","R"
"114995","S","I"
"114996","S","I"
"114998","C","S"
"115001","S",""
"115002","C","S"
"115004","C","R"
"115006","I","S"
"115007","C","I"
"115009","C","R"
"115010","R","S"
"115011","R",""
"115012","R","S"
"115013","C","I"
"115015","R","S"
"115016","R","S"
"115017","S",""
"115018","S",""
"115019","S",""
"115020","C","I"
"115021","R",""
"115022","R","S"
"115023","C","R"
"115025","C","S"
"115027","S","R"
"115028","E","I"
"115031","I","R"
"115032","S",""
"115033","R",""
"115034","I","R"
"115036","R",""
"115037","S","R"
"115038","I","S"
"115039","S","I"
"115040","S","A"
"115041","S","R"
"115042","R","S"
"115043","I","S"
"115044","R",""
"115045","C","R"
"115046","R",""
"115047","R",""
"115049","R","S"
"115050","S",""
"115051","R","A"
"115055","E","S"
"115056","I","S"
"115058","S","I"
"115063","S","I"
"115064","I",""
"115065","S","I"
"115066","S","I"
"115067","E","S"
"115068","S",""
"115070","S",""
"115071","S",""
"115073","S",""
"115076","E","S"
"115078","S","I"
"115080","S","I"
"115081","S","I"
"115083","S","I"
"115084","S","E"
"115085","S","I"
"115086","I","S"
"115091","S","I"
"115093","S",""
"115095","E","S"
"115096","S","C"
"115098","C","R"
"115099","C",""
"115103","S",""
"115104","S","E"
"115105","S","C"
"115107","S",""
"115109","S",""
"115111","I","S"
"115112","S",""
"115113","S",""
"115115","S","R"
"115116","S",""
"115118","R",""
"115119","S","C"
"115122","C","S"
"115124","C","S"
"115125","S",""
"115126","S",""
"115127","S",""
"115130","E","C"
"115131","R","S"
"115132","S","C"
"115135","R","S"
"115136","S",""
"115139","E","I"
"115140","C",""
"115141","S","C"
"115142","E","C"
"115144","C","S"
"115145","R","I"
"115148","E","C"
"115149","S","C"
"115150","C",""
"115152","C",""
"115153","C",""
"115154","E","C"
"115155","C",""
"115156","C",""
"115158","E",""
"115161","C",""
"115163","C",""
"115164","C","E"
"115177","R","C"
"115181","A","E"
"115188","C","A"
"115192","R",""
"115195","R",""
"115200","S",""
"115202","E","C"
"115206","E","R"
"115215","C","R"
"115217","R",""
"115231","C","S"
"115239","C",""
"115241","C",""
"115246","C","S"
"115254","C",""
"115255","E","C"
"115262","E","C"
"115268","S","C"
"115271","S","C"
"115272","R","S"
"115277","S","I"
"115280","S",""
"115282","I","S"
"115283","S","C"
"115287","I","S"
"115289","S","C"
"115297","S",""
"115298","S",""
