"code_ogr","riasec_majeur","riasec_mineur"
"102836","R",""
"102837","R",""
"102838","R",""
"102839","R",""
"102840","R",""
"102841","R",""
"102842","R",""
"102843","R",""
"102844","R",""
"102845","R",""
"102846","R",""
"102847","R",""
"102848","R",""
"102849","R",""
"102850","R",""
"102851","R",""
"102852","R",""
"102853","R",""
"102854","R",""
"102856","C",""
"102857","C",""
"102858","C",""
"102859","C",""
"102860","R",""
"102861","R",""
"102862","R",""
"102863","R",""
"102864","R",""
"102865","R",""
"102866","R",""
"102867","R",""
"102868","R",""
"102869","R",""
"102870","R",""
"102871","R",""
"102872","R",""
"102873","R",""
"102874","R",""
"102889","R",""
"102890","R",""
"102891","R",""
"102892","R",""
"102893","R",""
"102894","R",""
"102895","R",""
"102896","R",""
"102897","R",""
"102898","R",""
"102899","R",""
"102901","R",""
"102902","C",""
"102903","C",""
"102906","R",""
"102907","R",""
"102909","R",""
"102910","R",""
"102911","R",""
"102912","R",""
"102913","R",""
"102914","C","I"
"102915","C","I"
"102916","C",""
"102918","C",""
"102919","E","S"
"102920","C",""
"102945","C",""
"102946","C",""
"102948","A","R"
"102952","C",""
"102961","R",""
"102962","R","A"
"102963","R","A"
"102964","R",""
"102965","R",""
"102966","R",""
"102967","R",""
"102968","R",""
"102969","R",""
"102970","R",""
"102971","R",""
"102972","R","A"
"102973","R",""
"102974","R",""
"102976","R",""
"102977","R","A"
"102980","R","C"
"102981","R","C"
"102983","R","A"
"102996","C","E"
"103003","C",""
"103011","C","I"
"103023","C",""
"103028","A",""
"103031","A",""
"103085","R","A"
"103086","R","A"
"103087","R","A"
"103097","C","R"
"103098","I","S"
"103107","R","C"
"103109","R","C"
"103111","R","C"
"103122","R",""
"103150","R","S"
"103153","I","E"
"103154","I",""
"103157","I","A"
"103169","R",""
"103170","R",""
"103171","R",""
"103172","R",""
"103173","R",""
"103196","I",""
"103198","R","I"
"103199","C",""
"103203","R",""
"103204","R",""
"103205","R",""
"103206","R",""
"103207","R",""
"103208","R",""
"103209","R",""
"103210","R",""
"103212","R",""
"103213","R",""
"103217","R",""
"103219","C","R"
"103222","R","A"
"103308","C",""
"103309","R",""
"103310","R","A"
"103314","R",""
"103346","R","C"
"103357","R",""
"103358","R",""
"103359","R",""
"103360","R",""
"103361","R",""
"103369","R",""
"103408","R",""
"103418","R",""
"103426","R",""
"103428","R","A"
"103436","R",""
"103449","R",""
"103450","R",""
"103451","R",""
"103452","R",""
"103453","R",""
"103458","R",""
"103467","A","R"
"103468","R",""
"103469","R",""
"103481","R",""
"103483","R",""
"103495","R",""
"103514","R",""
"103515","R",""
"103531","R",""
"103547","R",""
"103552","R",""
"103564","R","C"
"103566","R",""
"103592","R",""
"103618","R",""
"103619","R",""
"103620","R",""
"103621","R",""
"103622","R",""
"103628","I","C"
"103644","R",""
"103655","R",""
"103659","R",""
"103668","R",""
"103686","R",""
"103711","R",""
"103712","R",""
"103713","R",""
"103715","R",""
"103716","R",""
"103717","R",""
"103722","R",""
"103726","A","R"
"103728","R",""
"103731","R",""
"103732","R",""
"103742","R",""
"103754","R",""
"103758","R",""
"103760","R",""
"103767","R",""
"103771","R",""
"103775","R",""
"103780","R",""
"103781","R",""
"103795","R",""
"103796","R",""
"103797","R",""
"103798","R",""
"103807","R",""
"103816","C","I"
"103817","R",""
"103818","R",""
"103819","R",""
"103820","R",""
"103821","R",""
"103832","R",""
"103833","R",""
"103838","S","R"
"103841","I","C"
"103858","R",""
"103859","R",""
"103860","R",""
"103861","R",""
"103862","E","A"
"103863","E","A"
"103864","E","R"
"103865","E","R"
"103866","C",""
"103869","S",""
"103875","S",""
"103879","S",""
"103888","E",""
"103889","S",""
"103890","S","R"
"103891","E","S"
"103892","S",""
"103894","S","I"
"103909","S",""
"103910","S",""
"103911","S",""
"103912","C",""
"103913","I","S"
"103922","S",""
"103923","S",""
"103925","S","C"
"103926","R","S"
"103927","I","R"
"103928","R","S"
"103929","C","R"
"103931","S","I"
"103934","S",""
"103935","S",""
"103936","S",""
"104010","C","S"
"104011","R","S"
"104012","R","S"
"104016","C","R"
"104020","R",""
"104021","R",""
"104022","R",""
"104029","S","C"
"104030","C","R"
"104037","C","E"
"104038","C","E"
"104039","C","E"
"104040","C","S"
"104045","E","C"
"104047","C","E"
"104060","E","A"
"104064","E","C"
"104065","S","R"
"104066","R",""
"104067","R",""
"104068","R",""
"104070","S","C"
"104071","S","R"
"104073","C","E"
"104074","C","E"
"104077","E","S"
"104080","C",""
"104081","C",""
"104082","C",""
"104089","C","E"
"104090","E","C"
"104091","E","C"
"104106","C",""
"104113","E","C"
"104142","R","C"
"104152","R",""
"104153","R",""
"104154","R",""
"104160","R",""
"104163","R","C"
"104173","S","C"
"104174","S","C"
"104175","R",""
"104181","E","S"
"104183","A","E"
"104204","R",""
"104207","R",""
"104226","E","C"
"104227","R",""
"104230","E","C"
"104236","R",""
"104259","R",""
"104262","R",""
"104263","R",""
"104271","R",""
"104272","R",""
"104278","S","C"
"104279","C",""
"104280","C","R"
"104286","E","C"
"104288","C",""
"104292","C","S"
"104293","S","C"
"104304","E","C"
"104322","C","S"
"104323","E","C"
"104324","E","S"
"104325","C","S"
"104344","A","I"
"104345","E","C"
"104346","R","E"
"104357","R","S"
"104359","R","S"
"104371","R",""
"104376","C",""
"104383","C","R"
"104384","R",""
"104386","C","R"
"104387","C",""
"104405","C","R"
"104407","R",""
"104408","C","R"
"104410","R","S"
"104419","R","I"
"104420","C","R"
"104421","A","R"
"104423","C","R"
"104426","R",""
"104427","R",""
"104428","R",""
"104429","R",""
"104430","R",""
"104431","R",""
"104435","A",""
"104468","A",""
"104469","R",""
"104477","A","R"
"104478","C","R"
"104480","C",""
"104482","C","R"
"104483","R","S"
"104489","R","A"
"104491","R","A"
"104494","R","A"
"104499","R","A"
"104501","R","A"
"104502","R","A"
"104508","I",""
"104510","C","R"
"104516","R","I"
"104517","I","R"
"104518","E","S"
"104519","R",""
"104520","R","I"
"104535","C","R"
"104536","I","R"
"104537","R",""
"104539","C","R"
"104540","C","R"
"104541","R",""
"104556","I","C"
"104557","C","R"
"104558","R","I"
"104579","C","R"
"104580","I","R"
"104581","C","I"
"104582","C","I"
"104601","R","C"
"104603","C",""
"104604","I","R"
"104605","S","R"
"104651","C",""
"104659","I","R"
"104669","R",""
"104670","C",""
"104672","R","E"
"104679","R",""
"104680","R",""
"104681","R",""
"104683","C",""
"104689","R",""
"104702","C",""
"104704","C",""
"104707","I",""
"104708","I",""
"104709","I",""
"104711","R","I"
"104712","I",""
"104734","R","C"
"104735","C","R"
"104736","I","R"
"104737","C","I"
"104751","C","R"
"104753","C","R"
"104754","C","R"
"104765","E","A"
"104767","C","R"
"104854","C","R"
"104855","R","C"
"104871","R",""
"104872","R",""
"104874","C",""
"104883","R",""
"104886","R",""
"104887","R",""
"104888","R",""
"104889","R",""
"104890","R",""
